relative_us,key,report_id,sensor_value,travel_units,firmware_mm,calibration_status,payload_hex
6180161,A,0,272,149,1.49,255,a0 10 00 04 01 10 00 95 04 01 ff 00 06 09 01 55 29 e1 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6195036,A,0,289,155,1.55,255,a0 10 00 04 01 21 00 9b 00 01 ff 00 06 09 01 55 29 b3 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6209033,A,0,297,159,1.59,255,a0 10 00 04 01 29 00 9f 04 01 ff 00 06 09 01 55 29 9d 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6270034,A,0,311,163,1.63,255,a0 10 00 04 01 37 00 a3 08 01 ff 00 06 09 01 55 29 76 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6285031,A,0,329,169,1.69,255,a0 10 00 04 01 49 00 a9 04 01 ff 00 06 09 01 55 29 47 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6300031,A,0,331,171,1.71,255,a0 10 00 04 01 4b 00 ab 06 01 ff 00 06 09 01 55 29 40 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6315034,A,0,332,170,1.70,255,a0 10 00 04 01 4c 00 aa 05 01 ff 00 06 09 01 55 29 3e 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6330034,A,0,334,172,1.72,255,a0 10 00 04 01 4e 00 ac 07 01 ff 00 06 09 01 55 29 3a 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6345030,A,0,358,178,1.78,255,a0 10 00 04 01 66 00 b2 02 01 ff 00 06 09 01 55 28 f9 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6360038,A,0,398,190,1.90,255,a0 10 00 04 01 8e 00 be 04 01 ff 00 06 09 01 55 28 8d 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6375032,A,0,411,194,1.94,255,a0 10 00 04 01 9b 00 c2 06 01 ff 00 06 09 01 55 28 68 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6390040,A,0,415,194,1.94,255,a0 10 00 04 01 9f 00 c2 08 01 ff 00 06 09 01 55 28 5f 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6420035,A,0,424,196,1.96,255,a0 10 00 04 01 a8 00 c4 00 01 ff 00 06 09 01 55 28 46 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6435030,A,0,443,202,2.02,255,a0 10 00 04 01 bb 00 ca 06 01 ff 00 06 09 01 55 28 12 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6450032,A,0,451,204,2.04,255,a0 10 00 04 01 c3 00 cc 08 01 ff 00 06 09 01 55 27 fc 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6645163,A,0,414,194,1.94,255,a0 10 00 04 01 9e 00 c2 0a ff ff 00 06 09 01 55 28 65 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6675039,A,0,372,183,1.83,255,a0 10 00 04 01 74 00 b7 01 ff ff 00 06 09 01 55 28 d3 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6690041,A,0,369,182,1.82,255,a0 10 00 04 01 71 00 b6 02 ff ff 00 06 09 01 55 28 da 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6751041,A,0,430,198,1.98,255,a0 10 00 04 01 ae 00 c6 06 01 ff 00 06 09 01 55 28 35 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6766079,A,0,496,214,2.14,255,a0 10 00 04 01 f0 00 d6 02 01 ff 00 06 09 01 55 27 83 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6780039,A,0,536,222,2.22,255,a0 10 00 04 02 18 00 de 00 01 ff 00 06 09 01 55 27 17 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
6795035,A,0,545,224,2.24,255,a0 10 00 04 02 21 00 e0 02 01 ff 00 06 09 01 55 26 ff 0b 30 00 3a 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
